Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,7,1,7,9,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,Intersection,E 12TH AV and SOPHIA ST,Mount Pleasant
2017,7,1,7,15,ENG - Water & Sewer,Water Design,Water Conservation Violation,31##,E 17TH AV,Renfrew-Collingwood
2017,7,1,7,18,ENG - Water & Sewer,Water Operations,Water Hydrant Issue,Intersection,EAST BOULEVARD and W 43RD AV,Kerrisdale
2017,7,1,7,29,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,21##,E 20TH AV,Kensington-Cedar Cottage
2017,7,1,7,35,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,21##,E 20TH AV,Kensington-Cedar Cottage
2017,7,1,8,19,ENG - Water & Sewer,Water Design,Water Conservation Violation,8##,W 46TH AV,Oakridge
2017,7,1,8,22,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,10##,COMMERCIAL DRIVE,Grandview-Woodland
2017,7,1,8,26,CSG - Inspections,Property Use,PUI Noise Complaint Case,2##,ABBOTT ST,Downtown
2017,7,1,8,26,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,36##,W 24TH AV,Dunbar Southlands
2017,7,1,8,36,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,8##,UNION ST,Strathcona
2017,7,1,8,41,Business Planning & Services,311 Contact Centre,Citizen Feedback,22##,KINGSWAY,Kensington-Cedar Cottage
2017,7,1,8,42,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,8##,E GEORGIA ST,Strathcona
2017,7,1,8,43,CSG - Inspections,Property Use,PUI Noise Complaint Case,19##,W 2ND AV,Kitsilano
2017,7,1,8,44,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,16##,KITCHENER ST,Grandview-Woodland
2017,7,1,8,47,Business Planning & Services,311 Contact Centre,Citizen Feedback,11##,RICHARDS ST,Downtown
2017,7,1,8,58,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,10##,E 59TH AV,Sunset
2017,7,1,9,11,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,46##,PUGET DRIVE,Arbutus Ridge
2017,7,1,9,13,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,1##,W HASTINGS ST,Downtown
2017,7,1,9,26,CSG - Inspections,Property Use,PUI Noise Complaint Case,10##,E 22ND AV,Kensington-Cedar Cottage
2017,7,1,9,28,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,8##,W 16TH AV,South Cambie
2017,7,1,9,33,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,17##,CHARLES ST,Grandview-Woodland
2017,7,1,9,44,ENG - Water & Sewer,Water Design,Water Conservation Violation,82##,FRASER ST,Sunset
2017,7,1,9,46,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3200, - 3299 YUKON ST,Riley Park
2017,7,1,9,48,ENG - Streets,Streets Operations,Pothole - Repair,18##,E 14TH AV,Kensington-Cedar Cottage
2017,7,1,9,55,ENG - Water & Sewer,Water Design,Water Conservation Violation,82##,FRASER ST,Sunset
2017,7,1,9,56,ENG - Water & Sewer,Water Design,Water Conservation Violation,82##,FRASER ST,Sunset
2017,7,1,9,58,ENG - Water & Sewer,Water Operations,Water General Work Request,22##,NAPIER ST,Grandview-Woodland
2017,7,1,9,59,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,16##,SALSBURY DRIVE,Grandview-Woodland
2017,7,1,9,59,ENG - Water & Sewer,Water Design,Water Conservation Violation,3##,UNADDRESSED LOCATION,
2017,7,1,9,59,ENG - Streets,Streets Operations,Streets - General Issues,1##,E 14TH AV,Mount Pleasant
2017,7,1,10,5,Business Planning & Services,311 Contact Centre,Citizen Feedback,16##,CHARLES ST,Grandview-Woodland
2017,7,1,10,14,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,MAIN ST and SWITCHMEN ST,Mount Pleasant
2017,7,1,10,16,CSG - Licenses,Animal Services,Animal Control General Inquiry Case,69##,CHURCHILL ST,Kerrisdale
2017,7,1,10,18,ENG - Solid Waste,Sanitation,Cart - Garbage,16##,GRANT ST,Grandview-Woodland
2017,7,1,10,20,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,17##,NAPIER ST,Grandview-Woodland
2017,7,1,10,24,CSG - Licenses,Animal Services,Holding Stray Case,10##,BURRARD ST,Downtown
2017,7,1,10,32,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,46##,COMMERCIAL ST,Kensington-Cedar Cottage
2017,7,1,10,36,ENG - Streets,Streets Operations,Streets - General Issues,46##,COMMERCIAL ST,Kensington-Cedar Cottage
2017,7,1,10,37,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),24##,PARKER ST,Hastings-Sunrise
2017,7,1,10,42,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,27##,WALL ST,Hastings-Sunrise
2017,7,1,10,44,Business Planning & Services,311 Contact Centre,Citizen Feedback,20##,W GEORGIA ST,
2017,7,1,10,49,ENG - Water & Sewer,Water Design,Water Conservation Violation,77##,MUIRFIELD DRIVE,Victoria-Fraserview
2017,7,1,10,54,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,Intersection,OAK ST and W 12TH AV,Fairview
2017,7,1,10,54,ENG - Water & Sewer,Water Design,Water Conservation Violation,27##,E 45TH AV,Victoria-Fraserview
2017,7,1,11,4,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,12##,BEACH AV,
2017,7,1,11,5,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,20##,CHARLES ST,Grandview-Woodland
2017,7,1,11,22,ENG - Streets,Streets Operations,Homelessness/Transient Issue,25##,GRANVILLE ST,Fairview
2017,7,1,11,31,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,ANGUS DRIVE and W 41ST AV,Kerrisdale
2017,7,1,11,34,ENG - Streets,Streets Operations,Streets - General Issues,18##,SPYGLASS PLACE,Fairview
2017,7,1,11,39,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,3##,E 17TH AV,Riley Park
2017,7,1,11,43,Business Planning & Services,311 Contact Centre,Citizen Feedback,45##,CLANCY LORANGER WAY,Riley Park
2017,7,1,11,46,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,38##,W 3RD AV,West Point Grey
2017,7,1,11,50,ENG - Streets,Streets Operations,Pothole - Repair,3##,UNADDRESSED LOCATION,
2017,7,1,11,50,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),46##,CLARENDON ST,Renfrew-Collingwood
2017,7,1,11,52,ENG - Solid Waste,Sanitation,Dead Animal Pickup Case,60##,FLEMING ST,Victoria-Fraserview
2017,7,1,11,52,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,ANGUS DRIVE and W 41ST AV,Kerrisdale
2017,7,1,11,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,E 41ST AV,Victoria-Fraserview
2017,7,1,12,4,ENG - Streets,Streets Operations,Streets - General Issues,800, - 899 ROBSON ST,Downtown
2017,7,1,12,7,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,22##,W 19TH AV,Arbutus Ridge
2017,7,1,12,13,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,29##,TURNER ST,Hastings-Sunrise
2017,7,1,12,15,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,29##,TURNER ST,Hastings-Sunrise
2017,7,1,12,40,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),29##,ADANAC ST,Hastings-Sunrise
2017,7,1,12,44,ENG - Streets,Traffic and Electrical Operations,Street Light - Pole Repair,58##,VINE ST,Kerrisdale
2017,7,1,12,46,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,19##,CHARLES ST,Grandview-Woodland
2017,7,1,12,48,ENG - Water & Sewer,Water Design,Water Conservation Violation,2##,E 57TH AV,Sunset
2017,7,1,13,0,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,28##,E 49TH AV,Killarney
2017,7,1,13,12,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,29##,GRAVELEY ST,Hastings-Sunrise
2017,7,1,13,20,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,300, - 399 E 30TH AV,Riley Park
2017,7,1,13,28,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,65##,TISDALL ST,Oakridge
2017,7,1,13,28,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,19##,GARDEN DRIVE,Grandview-Woodland
2017,7,1,13,29,Business Planning & Services,311 Contact Centre,Citizen Feedback,3300, - 3399 VENABLES ST,Hastings-Sunrise
